id_student,id_time,id_subject,arrive_time,duration,is_abs,is_late
35,2,1,14:05:52,01:58:51,False,False
11,2,1,14:05:57,01:58:46,False,False
17,2,1,14:06:08,02:22:09,False,False
48,2,1,14:06:13,01:56:07,False,False
38,2,1,14:06:21,01:58:37,False,False
42,2,1,14:06:44,01:57:57,False,False
2,2,1,14:06:50,01:57:57,False,False
44,2,1,14:06:59,01:57:56,False,False
40,2,1,14:06:59,01:57:41,False,False
68,2,1,14:07:00,01:57:35,False,False
7,2,1,14:07:02,01:57:41,False,False
12,2,1,14:08:22,01:56:39,False,False
67,2,1,14:08:23,02:12:07,False,False
28,2,1,14:08:50,01:35:59,False,False
59,2,1,14:09:14,01:55:24,False,False
18,2,1,14:09:23,00:17:00,True,False
54,2,1,14:09:53,00:00:24,True,False
41,2,1,14:10:06,01:54:44,False,False
22,2,1,14:10:30,01:54:11,False,False
21,2,1,14:10:36,00:02:40,True,False
71,2,1,14:10:57,01:53:55,False,False
3,2,1,14:11:34,01:48:46,False,False
76,2,1,14:11:54,00:02:49,True,False
62,2,1,14:11:57,01:53:27,False,False
47,2,1,14:12:58,01:54:35,False,False
24,2,1,14:13:17,01:51:17,False,False
56,2,1,14:13:30,01:52:11,False,False
72,2,1,14:13:41,01:51:19,False,False
39,2,1,14:13:54,01:50:54,False,False
75,2,1,14:15:04,01:50:47,False,False
50,2,1,14:15:18,01:46:04,False,False
31,2,1,14:16:00,01:34:39,False,True
26,2,1,14:18:02,01:11:13,False,True
37,2,1,14:18:34,01:46:14,False,True
73,2,1,14:18:49,01:47:10,False,True
60,2,1,14:19:12,01:45:26,False,True
23,2,1,14:19:41,01:36:34,False,True
4,2,1,14:20:16,01:17:59,False,True
29,2,1,14:20:17,00:52:06,False,True
33,2,1,14:23:20,00:03:10,True,False
55,2,1,14:24:33,01:41:23,False,True
78,2,1,14:27:04,00:00:52,True,False
61,2,1,14:31:29,01:30:37,False,True
70,2,1,14:34:33,01:04:21,False,True
51,2,1,14:35:58,01:30:09,False,True
14,2,1,14:38:50,00:03:23,True,False
8,2,1,14:43:52,01:46:17,False,True
45,2,1,14:58:03,00:50:09,False,True
79,2,1,15:16:55,00:45:44,False,True
77,2,1,15:19:22,00:45:27,False,True
16,2,1,16:23:48,00:00:12,True,False
1,2,1,00:00:00,00:00:00,True,False
5,2,1,00:00:00,00:00:00,True,False
6,2,1,00:00:00,00:00:00,True,False
9,2,1,00:00:00,00:00:00,True,False
10,2,1,00:00:00,00:00:00,True,False
13,2,1,00:00:00,00:00:00,True,False
15,2,1,00:00:00,00:00:00,True,False
19,2,1,00:00:00,00:00:00,True,False
20,2,1,00:00:00,00:00:00,True,False
25,2,1,00:00:00,00:00:00,True,False
27,2,1,00:00:00,00:00:00,True,False
30,2,1,00:00:00,00:00:00,True,False
32,2,1,00:00:00,00:00:00,True,False
34,2,1,00:00:00,00:00:00,True,False
36,2,1,00:00:00,00:00:00,True,False
43,2,1,00:00:00,00:00:00,True,False
46,2,1,00:00:00,00:00:00,True,False
49,2,1,00:00:00,00:00:00,True,False
52,2,1,00:00:00,00:00:00,True,False
53,2,1,00:00:00,00:00:00,True,False
57,2,1,00:00:00,00:00:00,True,False
58,2,1,00:00:00,00:00:00,True,False
63,2,1,00:00:00,00:00:00,True,False
64,2,1,00:00:00,00:00:00,True,False
65,2,1,00:00:00,00:00:00,True,False
66,2,1,00:00:00,00:00:00,True,False
69,2,1,00:00:00,00:00:00,True,False
74,2,1,00:00:00,00:00:00,True,False
