id_student,id_time,id_subject,arrive_time,duration,is_abs,is_late
11,4,1,13:02:44,01:50:46,False,False
42,4,1,13:03:07,01:50:15,False,False
41,4,1,13:03:22,01:20:36,False,False
48,4,1,13:03:28,01:49:59,False,False
18,4,1,13:04:08,01:49:24,False,False
20,4,1,13:04:16,01:49:09,False,False
60,4,1,13:05:40,01:47:33,False,False
35,4,1,13:06:06,01:47:15,False,False
40,4,1,13:06:45,01:46:34,False,False
52,4,1,13:07:26,01:46:21,False,False
17,4,1,13:08:28,01:29:07,False,False
39,4,1,13:09:05,01:42:47,False,False
28,4,1,13:09:26,01:44:13,False,False
49,4,1,13:09:57,01:43:27,False,False
38,4,1,13:10:15,01:43:03,False,False
68,4,1,13:10:36,01:42:40,False,False
29,4,1,13:12:19,00:58:44,False,False
69,4,1,13:14:16,01:39:07,False,True
59,4,1,13:15:02,01:38:30,False,True
67,4,1,13:15:42,01:37:50,False,True
74,4,1,13:16:02,01:35:08,False,True
55,4,1,13:16:33,01:36:50,False,True
26,4,1,13:16:40,01:36:46,False,True
2,4,1,13:18:20,00:02:02,True,False
75,4,1,13:19:28,01:33:52,False,True
72,4,1,13:20:41,01:32:37,False,True
71,4,1,13:20:51,01:32:51,False,True
47,4,1,13:21:38,01:27:51,False,True
9,4,1,13:24:50,00:00:57,True,False
51,4,1,13:25:04,01:26:27,False,True
23,4,1,13:28:59,01:24:25,False,True
16,4,1,13:30:50,00:56:12,False,True
62,4,1,13:33:11,01:20:09,False,True
61,4,1,13:34:31,01:17:13,False,True
24,4,1,13:36:02,01:18:48,False,True
4,4,1,13:36:54,01:12:03,False,True
37,4,1,13:41:05,01:10:48,False,True
12,4,1,13:41:50,01:11:34,False,True
3,4,1,13:42:59,01:05:44,False,True
44,4,1,13:48:10,01:05:19,False,True
66,4,1,14:07:42,00:39:29,False,True
10,4,1,14:09:08,00:44:00,False,True
56,4,1,14:13:15,00:04:34,True,False
77,4,1,14:19:12,00:34:09,False,True
70,4,1,14:27:59,00:24:14,True,False
45,4,1,14:36:04,00:14:55,True,False
1,4,1,00:00:00,00:00:00,True,False
5,4,1,00:00:00,00:00:00,True,False
6,4,1,00:00:00,00:00:00,True,False
7,4,1,00:00:00,00:00:00,True,False
8,4,1,00:00:00,00:00:00,True,False
13,4,1,00:00:00,00:00:00,True,False
14,4,1,00:00:00,00:00:00,True,False
15,4,1,00:00:00,00:00:00,True,False
19,4,1,00:00:00,00:00:00,True,False
21,4,1,00:00:00,00:00:00,True,False
22,4,1,00:00:00,00:00:00,True,False
25,4,1,00:00:00,00:00:00,True,False
27,4,1,00:00:00,00:00:00,True,False
30,4,1,00:00:00,00:00:00,True,False
31,4,1,00:00:00,00:00:00,True,False
32,4,1,00:00:00,00:00:00,True,False
33,4,1,00:00:00,00:00:00,True,False
34,4,1,00:00:00,00:00:00,True,False
36,4,1,00:00:00,00:00:00,True,False
43,4,1,00:00:00,00:00:00,True,False
46,4,1,00:00:00,00:00:00,True,False
50,4,1,00:00:00,00:00:00,True,False
53,4,1,00:00:00,00:00:00,True,False
54,4,1,00:00:00,00:00:00,True,False
57,4,1,00:00:00,00:00:00,True,False
58,4,1,00:00:00,00:00:00,True,False
63,4,1,00:00:00,00:00:00,True,False
64,4,1,00:00:00,00:00:00,True,False
65,4,1,00:00:00,00:00:00,True,False
73,4,1,00:00:00,00:00:00,True,False
76,4,1,00:00:00,00:00:00,True,False
78,4,1,00:00:00,00:00:00,True,False
79,4,1,00:00:00,00:00:00,True,False
